,territorialidade,renda_per_capita_,%_de_extremamente_pobres_,população_total_,idhm_educação_,idhm_longevidade_,idhm_ajustado_à_desigualdade_,Region,Area,State
0,Acre,509.57,13.28,865422.0,0.728,0.83,0.533,North,164123.738,Acre
1,Alagoas,419.89,13.14,3330079.0,0.643,0.793,0.5,Northeast,27843.295,Alagoas
2,Amapá,501.53,5.23,837575.0,0.728,0.828,0.567,North,142470.762,Amapá
3,Amazonas,479.55,11.74,3983005.0,0.735,0.792,0.549,North,1559168.117,Amazonas
4,Bahia,526.67,10.38,14853512.0,0.672,0.818,0.529,Northeast,564722.611,Bahia
5,Ceará,540.61,9.45,9129378.0,0.74,0.823,0.553,Northeast,148894.757,Ceará
6,Distrito Federal,1498.74,1.4,3012718.0,0.842,0.896,0.691,Center-west,5760.783,Distrito Federal
7,Espírito Santo,833.57,2.73,4014926.0,0.741,0.902,0.634,Southeast,46074.444,Espírito Santo
8,Goiás,749.17,3.02,7020504.0,0.77,0.827,0.624,Center-west,340125.715,Goiás
9,Maranhão,366.24,17.31,7040610.0,0.704,0.773,0.504,Northeast,329642.17,Maranhão
10,Mato Grosso do Sul,860.55,1.96,2709334.0,0.731,0.854,0.63,Center-west,357145.535,Mato Grosso do Sul
11,Mato Grosso,791.12,2.26,3430698.0,0.771,0.832,0.634,Center-west,903206.997,Mato Grosso
12,Minas Gerais,771.16,3.11,21158152.0,0.77,0.883,0.644,Southeast,586521.121,Minas Gerais
13,Paraíba,523.09,10.76,3996784.0,0.66,0.816,0.517,Northeast,56467.239,Paraíba
14,Paraná,926.61,2.37,11420565.0,0.779,0.882,0.661,South,199305.236,Paraná
15,Pará,458.68,9.6,8561098.0,0.677,0.793,0.537,North,1245759.305,Pará
16,Pernambuco,549.29,10.77,9499409.0,0.718,0.831,0.545,Northeast,98068.021,Pernambuco
17,Piauí,478.02,10.86,3272447.0,0.692,0.775,0.512,Northeast,251616.823,Piauí
18,Rio de Janeiro,1044.95,3.52,17264410.0,0.78,0.867,0.643,Southeast,43750.423,Rio de Janeiro
